                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3418,                 6.1398,                 5.5402,                      0,                      0,                      0,                      0,                 2.7704,                 5.0854,                 4.1594,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                  3.537,                 6.0982,                 5.0591,                      0,                      0,                      0,                      0,                 2.7729,                 5.0864,                 4.1599,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 3.4549,                 5.1718,                 4.8957,                      0,                      0,                      0,                      0,                 2.7756,                  5.089,                 4.1606,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 3.5281,                  4.823,                 4.6755,                      0,                      0,                      0,                      0,                 2.7783,                 5.0939,                 4.1616,             0.00013342,             0.00013342,             0.00013342
                      5,                 3.0505,                 4.6158,                 4.4892,                      0,                      0,                      0,                      0,                 2.7821,                 5.1007,                 4.1632,             0.00016807,             0.00016807,             0.00016807
                      6,                 2.8047,                 4.3859,                 4.3786,                      0,                      0,                      0,                      0,                 2.7856,                 5.1051,                 4.1647,             0.00020198,             0.00020198,             0.00020198
                      7,                 3.3039,                 4.1447,                 4.2124,                      0,                      0,                      0,                      0,                 2.7936,                 5.1146,                 4.1683,             0.00023515,             0.00023515,             0.00023515
                      8,                 2.9394,                 3.7208,                 4.1522,                      0,                      0,                      0,                      0,                 2.7985,                  5.119,                 4.1706,             0.00026758,             0.00026758,             0.00026758
                      9,                 2.9645,                 3.4434,                 4.0756,                      0,                      0,                      0,                      0,                  2.811,                 5.1267,                 4.1763,             0.00029926,             0.00029926,             0.00029926
                     10,                 3.2394,                 3.3002,                   4.04,                      0,                      0,                      0,                      0,                 2.8185,                 5.1293,                 4.1798,              0.0003302,              0.0003302,              0.0003302
                     11,                 2.6071,                 3.4937,                  4.089,                      0,                      0,                      0,                      0,                  2.834,                 5.1298,                  4.188,              0.0003604,              0.0003604,              0.0003604
                     12,                 2.8481,                 3.4402,                 3.9629,                      0,                      0,                      0,                      0,                 2.8421,                 5.1287,                 4.1923,             0.00038986,             0.00038986,             0.00038986
                     13,                 2.7646,                 3.1833,                 3.8457,                      0,                      0,                      0,                      0,                   2.86,                 5.1233,                 4.2019,             0.00041857,             0.00041857,             0.00041857
                     14,                 2.8476,                 3.0643,                 3.7499,                      0,                      0,                      0,                      0,                 2.8695,                 5.1166,                 4.2067,             0.00044654,             0.00044654,             0.00044654
                     15,                 2.5628,                 2.8953,                 3.7665,                      0,                      0,                      0,                      0,                 2.8871,                 5.0953,                 4.2185,             0.00047377,             0.00047377,             0.00047377
                     16,                 2.4197,                 2.9068,                 3.7271,                      0,                      0,                      0,                      0,                 2.8932,                 5.0908,                 4.2255,             0.00050026,             0.00050026,             0.00050026
                     17,                  2.359,                 2.8105,                 3.7045,                      0,                      0,                      0,                      0,                 2.9052,                 5.0787,                 4.2411,               0.000526,               0.000526,               0.000526
                     18,                  2.367,                 2.8011,                 3.5461,                      0,                      0,                      0,                      0,                 2.9183,                 5.0649,                 4.2515,               0.000551,               0.000551,               0.000551
                     19,                  2.203,                 2.6835,                  3.615,                      0,                      0,                      0,                      0,                 2.9301,                 5.0523,                 4.2633,             0.00057526,             0.00057526,             0.00057526
                     20,                 2.0714,                 2.2867,                 3.2641,                      0,                      0,                      0,                      0,                 2.9405,                 5.0562,                 4.2745,             0.00059878,             0.00059878,             0.00059878
                     21,                 2.2256,                 2.4533,                 3.2582,                      0,                      0,                      0,                      0,                 2.9473,                 5.0443,                 4.2854,             0.00062155,             0.00062155,             0.00062155
                     22,                 2.0533,                 2.4149,                 3.2675,                      0,                      0,                      0,                      0,                 2.9522,                 5.0213,                 4.2973,             0.00064358,             0.00064358,             0.00064358
                     23,                 1.9823,                   2.15,                 3.0968,                      0,                      0,                      0,                      0,                 2.9528,                 4.9962,                 4.3044,             0.00066487,             0.00066487,             0.00066487
                     24,                 1.9159,                 2.1248,                 3.1462,                      0,                      0,                      0,                      0,                 2.9493,                 4.9696,                 4.3106,             0.00068542,             0.00068542,             0.00068542
                     25,                 1.9761,                 2.6512,                 3.1838,                      0,                      0,                      0,                      0,                 2.9373,                 4.9198,                 4.3075,             0.00070522,             0.00070522,             0.00070522
                     26,                 2.0599,                 1.9975,                 2.9488,                      0,                      0,                      0,                      0,                 2.9107,                 4.8668,                 4.2975,             0.00072428,             0.00072428,             0.00072428
                     27,                 1.9646,                  2.032,                  2.969,                      0,                      0,                      0,                      0,                 2.8783,                   4.81,                 4.2819,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.7533,                 2.2502,                 2.9962,                      0,                      0,                      0,                      0,                 2.7948,                 4.6983,                 4.2334,             0.00076018,             0.00076018,             0.00076018
                     29,                 1.7139,                 1.8315,                 2.7008,                      0,                      0,                      0,                      0,                 2.7948,                 4.6983,                 4.2334,             0.00077701,             0.00077701,             0.00077701
                     30,                 1.8277,                  1.878,                 2.8448,                0.00701,                    0.3,                0.00456,                0.00231,                 2.4492,                 4.4801,                 4.0953,              0.0007931,              0.0007931,              0.0007931
                     31,                 1.8041,                 2.1411,                 2.8995,                0.01073,                    0.5,                0.20577,                0.11816,                 2.0201,                 4.1957,                 3.8599,             0.00080845,             0.00080845,             0.00080845
                     32,                 1.5145,                 1.7318,                 2.4505,                0.01953,                      1,                 0.5049,                 0.2582,                 1.6525,                 3.8397,                 3.5569,             0.00082306,             0.00082306,             0.00082306
                     33,                 1.8072,                 2.0265,                 2.5335,                0.01953,                      1,                 0.5049,                 0.2582,                 1.6525,                 3.8397,                 3.5569,             0.00083692,             0.00083692,             0.00083692
                     34,                 1.6273,                 1.8922,                 2.6834,                0.01799,                      1,                0.75794,                0.34792,                 1.7596,                 3.5605,                 3.3212,             0.00084162,             0.00084162,             0.00084162
                     35,                  1.505,                 1.7304,                 2.2857,                      1,                0.64298,                 0.9575,                 0.5254,                 1.5486,                 3.0507,                 2.9977,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.7475,                  1.653,                 2.5581,                      1,                0.33344,                 0.9575,                0.57368,                 1.3893,                 2.7621,                 2.7773,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5549,                 1.5168,                 2.3545,                      1,                0.33344,                 0.9575,                0.57368,                 1.3893,                 2.7621,                 2.7773,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.4626,                 1.3974,                 2.2902,                      1,                 0.3866,                0.96167,                 0.5778,                 1.4181,                 2.7138,                 2.8144,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.6462,                  1.612,                  2.367,                      1,                0.63907,                0.96643,                 0.5984,                 1.3898,                 2.6507,                 2.8087,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4936,                  1.569,                 2.3158,                      1,                0.71964,                0.97192,                0.67347,                 1.3185,                 2.6962,                 2.6883,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5222,                 1.5474,                 2.2824,                      1,                0.71964,                0.97192,                0.67347,                 1.3185,                 2.6962,                 2.6883,               0.000755,               0.000755,               0.000755
                     42,                 1.4221,                 1.4244,                 2.1962,                      1,                 0.6482,                0.97192,                0.61786,                 1.4029,                 2.6833,                  2.751,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5069,                 1.4788,                 2.3793,                0.94621,                    0.9,                0.98591,                 0.6396,                 1.2936,                 2.2852,                 2.6748,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.3983,                 1.4634,                 2.1509,                0.94364,                    0.9,                0.98591,                 0.6392,                 1.2094,                  2.192,                 2.5301,             0.00071788,             0.00071788,             0.00071788
                     45,                  1.291,                 1.4749,                 1.9803,                0.94364,                    0.9,                0.98591,                 0.6392,                 1.2094,                  2.192,                 2.5301,              0.0007055,              0.0007055,              0.0007055
                     46,                  1.573,                   1.52,                   2.14,                      1,                0.94682,                  0.995,                 0.7271,                 1.1232,                 2.2654,                 2.2605,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.3681,                 1.4886,                 2.1861,                0.97566,                      1,                  0.995,                0.64974,                 1.1719,                 2.1997,                 2.1808,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.4969,                 1.4428,                 2.1084,                0.98122,                      1,                  0.995,                0.69058,                 1.0645,                 2.0057,                  2.091,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.3081,                 1.3706,                 1.8848,                0.98122,                      1,                  0.995,                0.69058,                 1.0645,                 2.0057,                  2.091,               0.000656,               0.000656,               0.000656
                     50,                 1.4414,                 1.5087,                 2.0607,                0.99521,                      1,                  0.995,                0.66006,                 1.0393,                 1.6867,                 2.0637,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.4761,                 1.4392,                 1.9706,                      1,                0.99782,                  0.995,                 0.6728,                 1.0568,                 1.6917,                 2.0933,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.3561,                 1.3462,                  1.992,                 0.9916,                      1,                  0.995,                0.66679,                  1.012,                 1.4823,                 2.0315,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1972,                 1.1705,                 1.6779,                 0.9916,                      1,                  0.995,                0.66679,                  1.012,                 1.4823,                 2.0315,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.2739,                 1.2631,                 1.8246,                0.99291,                      1,                  0.995,                0.72657,                  1.154,                 1.3893,                 2.0494,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.2676,                 1.2658,                 1.8434,                0.99137,                      1,                  0.995,                0.70022,                 1.2463,                 1.3861,                  2.079,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4588,                 1.4055,                 2.0195,                0.98739,                      1,                  0.995,                0.69463,                 1.2389,                 1.4919,                 2.0344,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.2426,                 1.1653,                 1.8182,                0.98739,                      1,                  0.995,                0.69463,                 1.2389,                 1.4919,                 2.0344,               0.000557,               0.000557,               0.000557
