                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.507,                 3.8692,                 2.9287,                0.99746,                   0.25,                0.24875,                0.16824,                 1.9595,                 3.4126,                 3.1462,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                 2.1792,                 3.4351,                 2.6814,                0.99737,                   0.25,                0.24875,                 0.1779,                 1.9165,                   3.37,                 3.0999,                3.3e-05,                3.3e-05,                3.3e-05
                      3,                 2.1312,                 3.4467,                 2.7955,                0.99726,                   0.25,                0.24929,                0.18219,                 1.7791,                 3.2533,                 2.9551,              5.445e-05,              5.445e-05,              5.445e-05
                      4,                 1.9455,                 3.4652,                  2.629,                0.99699,                   0.25,                0.25281,                0.18617,                 1.5897,                 3.1572,                 2.7821,              7.546e-05,              7.546e-05,              7.546e-05
                      5,                 1.8178,                 3.5419,                 2.5149,                0.99961,                   0.25,                0.27402,                0.18721,                 1.4237,                 3.1747,                  2.607,              9.603e-05,              9.603e-05,              9.603e-05
                      6,                 1.7574,                 3.3328,                 2.4093,                0.98167,                0.20833,                0.40408,                0.24593,                  1.325,                 3.2195,                 2.4424,             0.00011616,             0.00011616,             0.00011616
                      7,                 1.7405,                 3.3115,                 2.4491,                0.97502,                  0.125,                0.40572,                0.24257,                  1.332,                  3.155,                 2.3539,             0.00013585,             0.00013585,             0.00013585
                      8,                  1.719,                 3.0896,                 2.1532,                0.82524,                0.20833,                0.36015,                0.25253,                 1.2974,                 2.9386,                 2.2814,              0.0001551,              0.0001551,              0.0001551
                      9,                 1.6204,                 2.9297,                 2.0563,                0.79964,                0.41667,                0.42336,                0.30808,                 1.2635,                 2.7819,                 2.2492,             0.00017391,             0.00017391,             0.00017391
                     10,                  1.463,                 2.6793,                 2.0842,                 0.7894,                0.42993,                0.51918,                0.38794,                 1.2287,                 2.6003,                 2.2189,             0.00019228,             0.00019228,             0.00019228
                     11,                 1.5426,                 2.7522,                 2.0697,                0.68931,                    0.5,                0.51513,                0.39989,                  1.202,                 2.4235,                 2.2214,             0.00021021,             0.00021021,             0.00021021
                     12,                 1.4752,                 2.5221,                 2.1448,                0.74688,                0.52286,                0.53419,                0.40318,                 1.3382,                 2.3861,                 2.3014,              0.0002277,              0.0002277,              0.0002277
                     13,                 1.6578,                 2.4226,                  2.238,                0.78933,                0.49727,                 0.5625,                0.39709,                 1.4966,                 2.3767,                 2.3958,             0.00024475,             0.00024475,             0.00024475
